source,target,type,name,distance,type_num,node_type_num,node_tg_type_num,cluster_distance,cluster_type,cluster_across
160,1233,road,None,1.928784769,1,1,1,1,1,0
161,8075,road,N104,0.364476545,1,1,1,2,1,0
161,10521,road,None,0.874169305,1,1,1,2,1,0
162,6207,road,N104,0.603462791,1,1,1,2,1,0
162,5865,road,None,0.725768331,1,1,1,2,1,0
162,8653,road,None,0.078744587,1,1,1,2,1,0
163,8656,road,None,0.216707592,1,1,1,2,1,0
163,8074,road,None,0.679657454,1,1,1,2,1,0
163,12037,crosslayer,None,0.647947468,4,1,4,2,4,1
164,3660,road,None,0.907731016,1,1,1,2,1,0
164,3656,road,None,0.180580698,1,1,1,2,1,0
164,12074,crosslayer,None,0.216651708,4,1,4,2,4,1
165,11906,crosslayer,None,0.228981048,4,1,4,2,4,1
166,4881,road,None,2.933635261,1,1,1,1,1,0
166,930,road,D317,0.121874934,1,1,1,2,1,0
167,9754,road,D26,0.693818643,1,1,1,2,1,0
168,544,road,D55,0.844972665,1,1,1,2,1,0
169,7651,road,None,4.993080872,1,1,1,0,1,0
169,3813,road,None,1.571672505,1,1,1,1,1,0
170,89,road,None,0.961401966,1,1,1,2,1,0
170,11876,crosslayer,None,0.304073463,4,1,4,2,4,1
170,12084,crosslayer,None,0.682095375,4,1,4,2,4,1
170,12138,crosslayer,None,0.861729621,4,1,4,2,4,1
171,9982,road,D19,0.684294384,1,1,1,2,1,0
171,273,road,D19,7.421698882,1,1,1,0,1,0
172,6939,road,None,0.071626494,1,1,1,2,1,0
173,9981,road,D119,0.692467432,1,1,1,2,1,0
174,1498,road,D321,0.215583803,1,1,1,2,1,0
175,8961,road,D449,2.1177285,1,1,1,1,1,0
175,3288,road,D205,1.690562543,1,1,1,1,1,0
176,6728,metro,M3bis,0.676269715,3,3,3,2,3,0
176,11401,metro,M11,1.10661059,3,3,3,2,3,0
176,11403,metro,M11,0.869363642,3,3,3,2,3,0
177,11391,metro,M2,0.58598257,3,3,3,2,3,0
177,5190,metro,M2,1.197057939,3,3,3,2,3,0
177,311,metro,M4,0.727643466,3,3,3,2,3,0
177,5850,metro,M4,0.396194542,3,3,3,2,3,0
178,7937,road,None,0.281707136,1,1,1,2,1,0
178,9496,road,D7,0.801300158,1,1,1,2,1,0
179,5764,road,D446,1.715302924,1,1,1,1,1,0
179,12141,crosslayer,None,0.109457274,4,1,4,2,4,1
180,11349,road,D161,2.823417356,1,1,1,1,1,0
180,1492,road,D161,1.755264949,1,1,1,1,1,0
181,6866,road,D920,0.236918358,1,1,1,2,1,0
181,356,road,D50,0.376956579,1,1,1,2,1,0
182,3722,road,D372,1.485067677,1,1,1,1,1,0
183,8593,road,D201,2.69240303,1,1,1,1,1,0
184,1912,road,D80,1.084085253,1,1,1,2,1,0
184,2214,road,D71,0.966664299,1,1,1,2,1,0
185,7498,road,D94,1.129705031,1,1,1,2,1,0
185,10027,road,D33,0.464461857,1,1,1,2,1,0
185,12154,crosslayer,None,0.284246128,4,1,4,2,4,1
186,2709,road,D936,1.784530768,1,1,1,1,1,0
187,1967,road,D195,2.751989327,1,1,1,1,1,0
188,2121,road,D928,0.64308182,1,1,1,2,1,0
188,1440,road,D909,1.130974956,1,1,1,2,1,0
189,1816,road,D13,3.185910285,1,1,1,1,1,0
189,4687,road,None,2.684523605,1,1,1,1,1,0
190,192,road,D533,0.166422737,1,1,1,2,1,0
190,11030,road,D533,0.508834395,1,1,1,2,1,0
191,3578,road,D10,2.834940662,1,1,1,1,1,0
191,11031,road,None,5.641196793,1,1,1,0,1,0
192,2884,road,None,0.340218622,1,1,1,2,1,0
193,6965,road,D410,0.199982066,1,1,1,2,1,0
194,8423,road,D64,1.138018625,1,1,1,2,1,0
195,175,road,D449,0.708582888,1,1,1,2,1,0
195,11572,road,None,0.313423203,1,1,1,2,1,0
196,11332,road,None,1.013914039,1,1,1,2,1,0
196,5043,road,D411,3.829104257,1,1,1,0,1,0
197,4691,road,None,0.833289291,1,1,1,2,1,0
197,3335,road,D153D,1.746572861,1,1,1,1,1,0
198,4485,road,None,0.280147367,1,1,1,2,1,0
199,2534,road,D74,0.900640511,1,1,1,2,1,0
199,2536,road,D1,0.175075879,1,1,1,2,1,0
200,10894,road,A6,0.910258194,1,1,1,2,1,0
201,7012,road,N186,1.1764566,1,1,1,2,1,0
201,7044,road,D301,0.913552655,1,1,1,2,1,0
201,11991,crosslayer,None,0.788348213,4,1,4,2,4,1
201,12062,crosslayer,None,0.433539494,4,1,4,2,4,1
202,7112,road,D260,0.228990571,1,1,1,2,1,0
203,5116,road,None,0.123179251,1,1,1,2,1,0
203,12112,crosslayer,None,0.842845628,4,1,4,2,4,1
204,10569,road,D119,2.894296992,1,1,1,1,1,0
204,7700,road,None,4.317170422,1,1,1,0,1,0
205,10642,road,D5,0.178070379,1,1,1,2,1,0
205,5923,road,D913,0.20111108,1,1,1,2,1,0
205,5922,road,D913,0.187638233,1,1,1,2,1,0
206,7893,road,D34A,0.466846038,1,1,1,2,1,0
206,3783,road,D224,1.08296041,1,1,1,2,1,0
207,7135,road,None,0.372392822,1,1,1,2,1,0
208,10060,road,None,0.213133607,1,1,1,2,1,0
208,6961,road,None,0.220257508,1,1,1,2,1,0
208,11761,crosslayer,None,0.20931724,4,1,4,2,4,1
208,12081,crosslayer,None,0.985892503,4,1,4,2,4,1
208,12160,crosslayer,None,0.941783784,4,1,4,2,4,1
209,4632,road,D64,0.390762064,1,1,1,2,1,0
210,10030,road,D78,0.069800357,1,1,1,2,1,0
211,9527,road,None,3.176395277,1,1,1,1,1,0
212,2526,road,D92A,0.639649813,1,1,1,2,1,0
213,6816,road,D402,1.010087561,1,1,1,2,1,0
214,7343,road,None,0.14169831,1,1,1,2,1,0
214,6455,road,None,0.493932862,1,1,1,2,1,0
215,11717,crosslayer,None,0.417230602,4,1,4,2,4,1
216,3648,road,D115,0.941461605,1,1,1,2,1,0
216,10320,road,N186,0.072650723,1,1,1,2,1,0
217,841,road,None,0.197431919,1,1,1,2,1,0
217,9524,road,N410,0.067877567,1,1,1,2,1,0
218,2268,road,D45,0.370824184,1,1,1,2,1,0
219,8131,road,N186,0.516550424,1,1,1,2,1,0
219,10320,road,N186,0.070232514,1,1,1,2,1,0
220,8504,road,D113,0.508640807,1,1,1,2,1,0
221,3333,road,D209,2.157615026,1,1,1,1,1,0
221,4527,road,D90,5.549441846,1,1,1,0,1,0
222,9073,road,D353,1.300787507,1,1,1,2,1,0
223,4361,road,None,0.207315927,1,1,1,2,1,0
223,12030,crosslayer,None,0.482407689,4,1,4,2,4,1
224,225,road,D934,0.240975401,1,1,1,2,1,0
225,3996,road,D436,0.157550316,1,1,1,2,1,0
226,6736,road,None,0.588779822,1,1,1,2,1,0
226,3354,road,D321,0.348176002,1,1,1,2,1,0
226,12109,crosslayer,None,0.752842159,4,1,4,2,4,1
227,8429,road,D116,1.728887089,1,1,1,1,1,0
227,1413,road,A103,0.184917165,1,1,1,2,1,0
227,12112,crosslayer,None,1.157703001,4,1,4,2,4,1
228,2753,road,None,0.88809636,1,1,1,2,1,0
228,1344,road,None,0.710652113,1,1,1,2,1,0
228,11716,crosslayer,None,0.009224068,4,1,4,2,4,1
229,1996,road,None,0.375062767,1,1,1,2,1,0
229,1994,road,D14,0.291125149,1,1,1,2,1,0
229,11921,crosslayer,None,0.169285958,4,1,4,2,4,1
229,11998,crosslayer,None,0.756835019,4,1,4,2,4,1
230,8854,road,None,2.266945544,1,1,1,1,1,0
230,12027,crosslayer,None,0.3008129,4,1,4,2,4,1
231,4109,road,D606,1.30203352,1,1,1,2,1,0
232,8084,road,D141,0.951312813,1,1,1,2,1,0
232,9258,road,D141E,0.387554768,1,1,1,2,1,0
233,7576,road,None,1.189193731,1,1,1,2,1,0
233,1749,road,None,1.801628316,1,1,1,1,1,0
234,5487,road,D606,0.136544544,1,1,1,2,1,0
234,2608,road,D372,0.380368167,1,1,1,2,1,0
234,12126,crosslayer,None,0.141309068,4,1,4,2,4,1
235,7148,road,D988,7.043341065,1,1,1,0,1,0
236,5401,road,None,0.222426176,1,1,1,2,1,0
236,9897,road,None,0.68789548,1,1,1,2,1,0
236,11785,crosslayer,None,0.201600905,4,1,4,2,4,1
236,11959,crosslayer,None,0.391648873,4,1,4,2,4,1
236,12010,crosslayer,None,0.69553715,4,1,4,2,4,1
236,12103,crosslayer,None,0.817182725,4,1,4,2,4,1
237,5993,road,D150,1.163069899,1,1,1,2,1,0
238,8413,road,None,0.946142494,1,1,1,2,1,0
239,238,road,D148,0.465261077,1,1,1,2,1,0
239,2381,road,D146,0.657433244,1,1,1,2,1,0
240,3723,road,D74,4.283516241,1,1,1,0,1,0
240,9260,road,D74,0.266518918,1,1,1,2,1,0
241,873,road,D404,0.72544088,1,1,1,2,1,0
241,11506,road,D41E,1.084982663,1,1,1,2,1,0
242,3138,road,D113,1.471302659,1,1,1,1,1,0
243,1247,road,None,1.650324388,1,1,1,1,1,0
243,8203,road,None,2.626294703,1,1,1,1,1,0
244,8008,road,None,0.47653164,1,1,1,2,1,0
244,11986,crosslayer,None,0.352938538,4,1,4,2,4,1
245,4802,road,D21,3.883283218,1,1,1,0,1,0
246,3315,road,None,1.091164246,1,1,1,2,1,0
246,2537,road,None,0.474047755,1,1,1,2,1,0
247,7864,road,None,0.176003795,1,1,1,2,1,0
247,12006,crosslayer,None,0.723195152,4,1,4,2,4,1
247,12087,crosslayer,None,0.576120619,4,1,4,2,4,1
248,244,road,None,0.534979142,1,1,1,2,1,0
248,2535,road,A1,0.266923587,1,1,1,2,1,0
249,246,road,None,1.169346424,1,1,1,2,1,0
249,2537,road,None,0.700741088,1,1,1,2,1,0
249,12042,crosslayer,None,0.481221343,4,1,4,2,4,1
250,6356,road,None,0.048466478,1,1,1,2,1,0
250,5968,road,None,0.665016429,1,1,1,2,1,0
250,12177,crosslayer,None,1.142885561,4,1,4,2,4,1
251,277,road,None,1.282054641,1,1,1,2,1,0
251,6354,road,D9B,0.241320665,1,1,1,2,1,0
