source,target,type,name,node_lat,node_lon,node_tg_lat,node_tg_lon,node_type,node_tg_type,distance,type_num,node_type_num,node_tg_type_num
63.0,12093.0,crosslayer,None,2.303172,48.78546,2.297437,48.781462,road,crosslayer,0.777160099682698,4,1,4
64.0,3579.0,road,None,2.448317,48.786222,2.446154,48.792157,road,road,0.7018379604455602,1,1,1
65.0,5969.0,road,None,2.402075,48.833393,2.406545,48.835533,road,road,0.5509755235493202,1,1,1
65.0,11908.0,crosslayer,None,2.402075,48.833393,2.398981,48.832256,road,crosslayer,0.3664937726691722,4,1,4
65.0,11948.0,crosslayer,None,2.402075,48.833393,2.406345,48.835458,road,crosslayer,0.5273221842680763,4,1,4
66.0,2809.0,road,D5,2.391776,48.786038,2.389059,48.789455,road,road,0.4851676451156078,1,1,1
67.0,6338.0,road,D23,1.962022,48.783051,1.958371,48.783968,road,road,0.4185673946394638,1,1,1
67.0,6656.0,road,D58,1.962022,48.783051,1.961677,48.793216,road,road,1.1302850998945144,1,1,1
68.0,4248.0,road,N7,2.363818,48.73968,2.364755,48.744735,road,road,0.5711946888797844,1,1,1
69.0,11430.0,train,RER C,2.14522,48.427443,2.159379,48.437091,train,train,1.9047463573576704,2,2,2
70.0,10372.0,road,D34A,2.645904,48.860408,2.64247,48.864787,road,road,0.6183796277906324,1,1,1
71.0,9466.0,road,None,2.260446,48.474611,2.280711,48.501599,road,road,3.750878830752919,1,1,1
71.0,10440.0,road,D148,2.260446,48.474611,2.248614,48.475365,road,road,1.3183229432972672,1,1,1
72.0,4845.0,road,D18,1.974839,48.347278,1.987196,48.348748,road,road,1.3837124853388492,1,1,1
73.0,8320.0,road,D63E2,2.641829,48.351159,2.660261,48.365181,road,road,2.574191317238025,1,1,1
74.0,2152.0,road,D18,3.224041,48.465359,3.225682,48.465706,road,road,0.1864931181727335,1,1,1
74.0,2773.0,road,D62,3.224041,48.465359,3.197539,48.480668,road,road,3.4018856361813112,1,1,1
75.0,1415.0,road,D90,2.43172,48.464259,2.425112,48.473975,road,road,1.3057563038573594,1,1,1
76.0,6165.0,road,D74,1.98824,48.851061,1.987638,48.851537,road,road,0.0853168284763307,1,1,1
76.0,7922.0,road,D74,1.98824,48.851061,2.007322,48.85905,road,road,2.3000672069886163,1,1,1
77.0,6162.0,road,None,2.574801,48.854641,2.580207,48.855146,road,road,0.6037315741793007,1,1,1
77.0,4008.0,road,None,2.574801,48.854641,2.577459,48.856548,road,road,0.3636306376678446,1,1,1
78.0,2023.0,road,None,2.293183,48.859025,2.291002,48.860415,road,road,0.2875151326985364,1,1,1
78.0,6983.0,road,None,2.293183,48.859025,2.295429,48.860553,road,road,0.3019829490907335,1,1,1
78.0,12084.0,crosslayer,None,2.293183,48.859025,2.289854,48.85686,road,crosslayer,0.441458877984264,4,1,4
78.0,12138.0,crosslayer,None,2.293183,48.859025,2.300944,48.862612,road,crosslayer,0.9505639317282396,4,1,4
