node,lat,lon,city,city_num,state,state_num
2298,39.1667399999999,75.9752399999999,Akto,510,Xinjiang,26
1967,38.9674899999999,76.1639299999999,Yengisar,511,Xinjiang,26
1502,38.1785199999999,77.3082799999999,Poskam,512,Xinjiang,26
1751,37.566741,78.2853719999999,Guma,513,Xinjiang,26
613,37.2226519999999,79.7326719999999,Karakash,514,Xinjiang,26
536,37.1579699999999,79.9070899999999,Hotan City,515,Xinjiang,26
1588,36.68426,101.241699999999,Huangyuan,516,Qinghai,27
1535,36.8728899999999,100.98079,Sanjiaocheng,517,Qinghai,27
365,37.244109,100.096889,Shaliuhe,518,Qinghai,27
152,36.95409,98.46728,Xireg,519,Qinghai,27
1035,37.3151799999999,97.38373,Delingha City,520,Qinghai,27
2370,37.32323,95.87303,Da Qaidam Administrative Zone,521,Qinghai,27
2231,37.25795,95.6337599999999,Da Qaidam Administrative Zone,521,Qinghai,27
1376,39.37265,117.01633,Wuqing District,117,Tianjin,3
1607,39.0821699999999,117.61006,Binhai New Area,245,Tianjin,3
2721,34.7924539999999,114.290293,Longting,522,Henan,8
2174,34.7370799999999,113.698539999999,Zhengzhou,38,Henan,8
2636,34.7864519999999,113.940005,Zhongmu County,523,Henan,8
2795,34.8023779999999,114.202796,Longting,522,Henan,8
2590,34.781516,113.855965,Zhongmu County,523,Henan,8
1374,30.5286399999999,114.31701,Wuchang District,524,Hubei,10
2648,30.473219,114.387326,Jiangxia District,525,Hubei,10
2725,30.4509849999999,114.391181,Jiangxia District,525,Hubei,10
2642,30.4117889999999,114.373256,Jiangxia District,525,Hubei,10
2667,30.39317,114.360662,Jiangxia District,525,Hubei,10
2800,30.3600269999999,114.350900999999,Jiangxia District,525,Hubei,10
2752,30.262995,114.351519,Jiangxia District,525,Hubei,10
2739,30.2185339999999,114.344105,Jiangxia District,525,Hubei,10
2567,30.019849,114.371962999999,Xianning,526,Hubei,10
2568,29.949033,114.365819,Xianning,526,Hubei,10
2761,29.8723309999999,114.351623,Xianning,526,Hubei,10
2762,29.84277,114.312107,Xianning,526,Hubei,10
1375,30.6073379999999,114.424640999999,Hongshan District,527,Hubei,10
2549,30.495946,114.666442,Huarong District,528,Hubei,10
2184,30.36167,114.86611,Echeng District,529,Hubei,10
2584,30.210481,115.007752999999,Huangshi,530,Hubei,10
2525,30.126788,115.006922,Daye,531,Hubei,10
2573,30.2667959999999,115.029,Echeng District,529,Hubei,10
2576,30.4524089999999,114.781178999999,Huarong District,528,Hubei,10
2536,30.367716,114.954508,Echeng District,529,Hubei,10
