node,lat,lon,geometry,city,state
555,50.6862489999999,121.525572999999,POINT (121.525572999999 50.6862489999999),Hulunbuir,Inner Mongolia
1314,50.7768099999999,121.51042,POINT (121.51042 50.7768099999999),Hulunbuir,Inner Mongolia
1222,50.917594,121.370536,POINT (121.370536 50.917594),Hulunbuir,Inner Mongolia
2210,51.33587,121.49984,POINT (121.49984 51.33587),Hulunbuir,Inner Mongolia
1660,51.5523999999999,121.73871,POINT (121.73871 51.5523999999999),Hulunbuir,Inner Mongolia
2309,51.6878999999999,121.87961,POINT (121.87961 51.6878999999999),Hulunbuir,Inner Mongolia
2296,51.9459099999999,122.00072,POINT (122.00072 51.9459099999999),Hulunbuir,Inner Mongolia
1600,52.0367,122.074749999999,POINT (122.074749999999 52.0367),Hulunbuir,Inner Mongolia
154,49.15388,119.32767,POINT (119.32767 49.15388),Hulunbuir,Inner Mongolia
773,49.1863499999999,118.89954,POINT (118.89954 49.1863499999999),Hulunbuir,Inner Mongolia
2110,49.20187,118.4665,POINT (118.4665 49.20187),Hulunbuir,Inner Mongolia
1930,49.54939,117.54701,POINT (117.54701 49.54939),Hulunbuir,Inner Mongolia
1996,46.87357,130.32302,POINT (130.32302 46.87357),Jiao,Heilongjiang
2426,47.05286,130.29202,POINT (130.29202 47.05286),,Heilongjiang
1121,47.111603,130.298047,POINT (130.298047 47.111603),Hegang City,Heilongjiang
886,47.19691,130.29189,POINT (130.29189 47.19691),Hegang City,Heilongjiang
2424,47.34033,130.28473,POINT (130.28473 47.34033),Hegang City,Heilongjiang
410,46.94774,130.316589999999,POINT (130.316589999999 46.94774),Jiao,Heilongjiang
1330,41.199399,123.736543999999,POINT (123.736543999999 41.199399),,Liaoning
2199,41.133915,123.741214,POINT (123.741214 41.133915),Nanfen District,Liaoning
2669,41.219045,123.70733,POINT (123.70733 41.219045),,Liaoning
1778,41.4515,123.72351,POINT (123.72351 41.4515),,Liaoning
1379,41.49318,123.68324,POINT (123.68324 41.49318),,Liaoning
2659,41.354132,123.900947,POINT (123.900947 41.354132),,Liaoning
2812,41.39453,123.984735,POINT (123.984735 41.39453),,Liaoning
2719,41.384456,124.052518,POINT (124.052518 41.384456),,Liaoning
2749,41.344709,124.064366,POINT (124.064366 41.344709),,Liaoning
2767,41.3168039999999,124.130142,POINT (124.130142 41.3168039999999),,Liaoning
521,41.6258399999999,123.44519,POINT (123.44519 41.6258399999999),Shenyang City,Liaoning
2316,41.56486,123.53097,POINT (123.53097 41.56486),Shenyang City,Liaoning
712,41.53197,123.61863,POINT (123.61863 41.53197),,Liaoning
717,41.34673,123.81984,POINT (123.81984 41.34673),,Liaoning
72,41.03177,123.73587,POINT (123.73587 41.03177),Nanfen District,Liaoning
2003,40.68583,122.26499,POINT (122.26499 40.68583),Yingkou City,Liaoning
1919,40.8051699999999,120.731979999999,POINT (120.731979999999 40.8051699999999),Huludao City,Liaoning
1635,41.1944799999999,123.04879,POINT (123.04879 41.1944799999999),Lishan District,Liaoning
2147,41.754249,125.982276,POINT (125.982276 41.754249),,Jilin
2418,41.76193,126.18101,POINT (126.18101 41.76193),,Jilin
1998,41.8040999999999,126.24455,POINT (126.24455 41.8040999999999),,Jilin
2159,41.84441,126.28895,POINT (126.28895 41.84441),,Jilin
1918,41.8798999999999,126.35423,POINT (126.35423 41.8798999999999),,Jilin
1722,41.9531289999999,126.457267,POINT (126.457267 41.9531289999999),,Jilin
