node,lat,lon,city,state,state_num,degree,Degree_Centrality,Clustering_Coefficients,Closeness_Centrality,Betweenness_Centrality,Eigenvector_Centrality,cluster_degree,cluster_state_degree,cluster_Degree_Centrality,cluster_state_Degree_Centrality,cluster_Clustering_Coefficients,cluster_state_Clustering_Coefficients,cluster_Closeness_Centrality,cluster_state_Closeness_Centrality,cluster_Betweenness_Centrality,cluster_state_Betweenness_Centrality,cluster_Eigenvector_Centrality,cluster_state_Eigenvector_Centrality
2288,38.05806,112.68206,Donghai County,Jiangsu,0,9,0.003311258,0.009658436,0.000779018,0.021005141,2.63E-06,23,11,22,9,22,19,0,0,1,1,1,1
105,35.42715,111.31227,Xinyi City,Jiangsu,0,4,0.00147167,0.013582498,0.000731939,0.022448293,1.75E-07,28,27,27,27,20,16,0,1,1,1,1,1
2274,35.35619,111.21679,Pizhou,Jiangsu,0,6,0.002207506,0.014936516,0.000732261,0.044924179,1.24E-05,26,15,25,12,19,15,0,1,1,1,1,1
934,40.06799,113.219928,Yunlong District,Jiangsu,0,4,0.00147167,0.019447131,0.000699481,0.000463858,1.05E-05,28,27,27,27,18,11,0,1,1,1,1,1
1809,39.35981,112.55141,Suzhou City,Anhui,0,5,0.001839588,0.019581663,0.000689936,0.000740236,8.95E-09,27,16,26,13,18,11,0,1,1,1,1,1
2089,38.303725,112.701402,Shangqiu City,Henan,0,4,0.00147167,0,0.000756056,0.009567542,6.52E-07,28,27,27,27,27,27,0,0,1,1,1,1
940,38.274609,112.596753,Shangqiu City,Henan,0,4,0.00147167,0,0.000762695,0.010216307,2.30E-09,28,27,27,27,27,27,0,0,1,1,1,1
2397,38.16861,112.6926,Ningling County,Henan,0,4,0.00147167,0,0.000771032,0.010866155,1.05E-08,28,27,27,27,27,27,0,0,1,1,1,1
690,37.91799,112.56605,Minquan County,Henan,0,7,0.002575423,0.007713208,0.000790151,0.012726223,2.88E-08,25,13,24,11,23,20,0,0,1,1,1,1
1565,37.55744,112.31375,Lankao,Henan,0,4,0.00147167,0.02031892,0.000771752,0.040842137,0.000201258,28,27,27,27,17,11,0,0,1,1,1,1
226,37.520985,112.195869,Yuwangtai District,Henan,0,10,0.003679176,0.009300427,0.000767721,0.095703153,0.000374412,22,10,21,8,22,19,0,0,0,0,1,1
1110,37.43963,112.07763,Zhengzhou,Henan,0,9,0.003311258,0.025488311,0.000763738,0.079193539,0.000330205,23,11,22,9,15,7,0,0,0,0,1,1
1445,37.372803,111.917171,Xigong District,Henan,0,6,0.002207506,0.015124333,0.000758999,0.07126427,0.000150251,26,15,25,12,19,15,0,0,0,0,1,1
518,37.56839,111.13783,Weinan City,Shaanxi,0,21,0.007726269,0.018144681,0.000737568,0.128726569,0.006689537,12,2,12,2,18,12,0,1,0,0,1,0
1301,37.44391,110.93175,Baoji City,Shaanxi,0,6,0.002207506,0.024915359,0.000731671,0.042473571,0.000137778,26,15,25,12,16,7,0,1,1,1,1,1
725,37.96273,113.88059,Xianyang City,Shaanxi,0,4,0.00147167,0,0.000813043,0.009592013,3.09E-07,28,27,27,27,27,27,0,0,1,1,1,1
828,37.88227,113.19013,Tongguan County,Shaanxi,0,4,0.00147167,0.002153517,0.000797562,0.009690345,2.14E-06,28,27,27,27,26,25,0,0,1,1,1,1
1944,37.73639,113.05319,Lingbao City,Henan,0,2,0.000735835,0.010767587,0.000783152,0.009055145,1.31E-08,29,28,29,28,21,18,0,0,1,1,1,1
2045,35.88024,111.44221,Mianchi,Henan,0,4,0.00147167,0.023961929,0.000730778,0.034746546,2.04E-07,28,27,27,27,16,8,0,1,1,1,1,1
743,40.22701,113.33142,Xiao County,Anhui,0,4,0.00147167,0,0.000698465,0.003019995,1.32E-05,28,27,27,27,27,27,0,1,1,1,1,1
604,40.359732,113.278109,Shangcheng District,Zhejiang,0,4,0.00147167,0,0.000690732,0.002471166,3.51E-06,28,27,27,27,27,27,0,1,1,1,1,1
1096,39.40491,114.40896,Huzhou,Zhejiang,0,2,0.000735835,0,0.000711004,0.000733669,5.62E-12,29,28,29,28,27,27,0,1,1,1,1,1
196,39.44868,114.3632,Changxing County,Zhejiang,0,2,0.000735835,0,0.000707993,0.00036697,1.04E-14,29,28,29,28,27,27,0,1,1,1,1,1
649,39.480043,114.301347,Xuancheng City,Anhui,0,1,0.000367918,0,0.000701045,0,4.17E-17,29,29,29,29,27,27,0,1,1,1,1,1
482,37.92123,112.2311,Xuanzhou District,Anhui,0,4,0.00147167,0,0.00076706,0.0014649,2.90E-10,28,27,27,27,27,27,0,0,1,1,1,1
483,37.91794,112.16468,Jinghu District,Anhui,0,4,0.00147167,0,0.00076295,0.000732721,5.40E-13,28,27,27,27,27,27,0,0,1,1,1,1
2236,37.956868,112.061513,Chaohu City,Anhui,0,2,0.000735835,0,0.000751436,0,2.87E-15,29,28,29,28,27,27,0,0,1,1,1,1
736,37.10133,111.82524,Yaohai District,Anhui,0,4,0.00147167,0,0.000743933,0.002927633,2.48E-08,28,27,27,27,27,27,0,0,1,1,1,1
739,37.13982,111.77486,Tianjia'an District,Anhui,0,4,0.00147167,0,0.000740621,0.002196537,3.95E-11,28,27,27,27,27,27,0,0,1,1,1,1
1719,37.13422,111.71144,Yingdong District,Anhui,0,4,0.00147167,0,0.000737882,0.0014649,5.25E-14,28,27,27,27,27,27,0,1,1,1,1,1
287,37.08994,111.61032,Bozhou City,Anhui,0,4,0.00147167,0,0.000730848,0.000732721,1.81E-16,28,27,27,27,27,27,0,1,1,1,1,1
2290,37.07429,111.552732,Huayin City,Shaanxi,0,2,0.000735835,0,0.000722014,0,8.03E-19,29,28,29,28,27,27,0,1,1,1,1,1
1632,39.46236,114.22194,Sanmenxia,Henan,0,8,0.002943341,0.008545335,0.00071643,0.00762036,0.000463541,24,12,23,10,23,20,0,1,1,1,1,1
926,39.3267,113.97794,Yima City,Henan,0,4,0.00147167,0,0.000711989,0.002914409,3.82E-06,28,27,27,27,27,27,0,1,1,1,1,1
94,39.26312,113.90702,Zhengzhou,Henan,0,4,0.00147167,0,0.000710605,0.002777236,1.01E-08,28,27,27,27,27,27,0,1,1,1,1,1
86,39.26616,113.83024,Shangqiu City,Henan,0,4,0.00147167,0,0.000709594,0.002672828,1.14E-10,28,27,27,27,27,27,0,1,1,1,1,1
664,39.28643,113.7329,Loushan,Henan,0,4,0.00147167,0,0.000708721,0.002785487,3.87E-08,28,27,27,27,27,27,0,1,1,1,1,1
204,39.265295,113.566233,Xi,Henan,0,6,0.002207506,0,0.000707714,0.007374094,9.12E-06,26,15,25,12,27,27,0,1,1,1,1,1
1856,39.1651,113.27345,Xin County,Henan,0,7,0.002575423,0.004768707,0.000710777,0.007366646,1.43E-07,25,13,24,11,25,23,0,1,1,1,1,1
