node,lat,lon,state,state_num
2160,27.7029099999999,106.948089999999,Guizhou,24
2193,29.49585,106.539376,Chongqing,23
342,29.5880499999999,105.03756,Sichuan,15
341,29.541028,104.99028,Sichuan,15
633,29.41457,104.85053,Sichuan,15
1935,29.35604,104.79106,Sichuan,15
265,29.2170999999999,104.70019,Sichuan,15
732,29.1389099999999,104.67877,Sichuan,15
1678,29.06885,104.67838,Sichuan,15
1106,28.97926,104.66392,Sichuan,15
2,28.88858,104.68845,Sichuan,15
790,28.75141,104.600489999999,Sichuan,15
789,28.704177,104.546628,Sichuan,15
1388,28.6069199999999,104.4158,Sichuan,15
1356,28.556808,104.362064,Sichuan,15
832,28.4979869999999,104.265071,Yunnan,25
2225,28.514782,104.277613,Sichuan,15
1608,28.314955,104.272516999999,Yunnan,25
1204,28.236716,104.195162,Yunnan,25
126,28.1710299999999,104.229198,Yunnan,25
1755,28.077766,104.242375,Yunnan,25
1756,27.9958409999999,104.214168,Yunnan,25
2088,28.0249759999999,104.131286,Yunnan,25
1465,28.0114209999999,104.050914,Yunnan,25
833,27.980374,103.97126,Yunnan,25
872,27.83752,103.870786,Yunnan,25
622,27.83331,103.97897,Yunnan,25
1215,27.6992219999999,103.98124,Yunnan,25
1956,27.6917529999999,103.990797,Yunnan,25
2161,27.6060529999999,104.018043,Yunnan,25
1706,27.5521029999999,103.963176,Yunnan,25
1019,27.5057599999999,103.92296,Yunnan,25
1018,27.520413,103.925015,Yunnan,25
189,27.480601,103.83986,Yunnan,25
1190,27.4420639999999,103.793651,Yunnan,25
1192,27.3854,103.79161,Yunnan,25
1668,27.2396199999999,108.93478,Guizhou,24
1904,27.17244,108.82517,Guizhou,24
2348,27.119966,108.735225,Guizhou,24
2243,27.0344799999999,108.41014,Guizhou,24
1157,26.9170699999999,108.13453,Guizhou,24
2446,26.9426489999999,108.182157,Guizhou,24
800,26.8124,108.044259999999,Guizhou,24
373,26.7310899999999,108.00961,Guizhou,24
1324,26.6819899999999,107.997519999999,Guizhou,24
360,26.60284,107.97644,Guizhou,24
2438,26.495621,107.593033,Guizhou,24
1822,26.6249399999999,107.536469999999,Guizhou,24
2092,26.58162,107.22843,Guizhou,24
2096,26.55685,106.7031,Guizhou,24
2394,26.3867599999999,106.34557,Guizhou,24
1135,26.3874999999999,106.2615,Guizhou,24
771,26.22926,105.9428,Guizhou,24
384,26.20898,105.61963,Guizhou,24
306,26.2258299999999,105.46473,Guizhou,24
320,26.28398,105.22372,Guizhou,24
